ItemHash,SkuNumber,SoldFlag,ItemName,Price,WarehouseId,Category,OrderDate,ShipDate,OutDate,Delivery_date,OrderId,Quantity,CustomerId
VVHSDD8E4U6R,225837,1,Clothing-ZKT-531,3850.79,WHJ2BL,Clothing,2025-04-04,2025-04-07,2025-04-09,2025-04-05,1000011,4,5309795
C5OAHY9HDDJW,973505,1,Books-IBF-360,1353.58,WHOT3O,Books,2025-11-18,2025-11-18,2025-11-19,2025-11-29,1000012,5,9003133
2ZRT141TIP0L,122534,1,HomeGoods-RVX-782,3646.19,WHXWC7,HomeGoods,2025-12-11,2025-12-15,2025-12-15,2025-12-13,1000013,3,3016350
DKUIQX8U9ARO,820472,1,ComputersandAccessories-YLF-300,268.25,WHB39I,Computers&Accessories,2025-12-05,2025-12-05,2025-12-08,2025-12-09,1000014,8,2043140
BUT3U8GP10N0,406875,0,HomeGoods-EJK-116,2473.86,WHNQIL,HomeGoods,,,,,,10,
TMWXK17HKT17,405019,1,Books-BXA-798,361.46,WHG7LR,Books,2025-03-10,2025-03-14,2025-03-15,2025-03-22,1000015,9,7337355
7N4HEES6X8WK,230383,0,Electronics-KUD-919,110.74,WH5I5A,Electronics,,,,,,1,
5ZL8AGOLHHBB,804608,0,Clothing-QIY-912,3126.83,WHM8VU,Clothing,,,,,,10,
LFLI558KKLU3,701774,1,ComputersandAccessories-KQO-785,4457.77,WHVMLP,Computers&Accessories,2026-01-11,2026-01-12,2026-01-14,2026-01-13,1000016,8,7857030
TQSJ9PM35TZ2,747436,0,HomeGoods-TLN-951,755.82,WH3Q2J,HomeGoods,,,,,,10,
216DYIND4P56,350633,1,Sports-YSW-806,3093.56,WHG33B,Sports,2026-02-19,2026-02-26,2026-02-27,2026-02-20,1000017,9,5323646
3EZXZKAR3A6K,732114,1,Books-QEI-611,2244.68,WHSDF0,Books,2025-11-17,2025-11-23,2025-11-25,2025-11-24,1000018,10,6077460
UYKEC1DQJUMC,240963,0,Sports-UDZ-441,1385.35,WHVRD0,Sports,,,,,,3,
IFSK79LJHV0D,629450,0,HomeGoods-DOR-397,261.73,WHQU8J,HomeGoods,,,,,,6,
TC29QU9KRZJN,838438,1,Books-SGT-225,4564.12,WHKF4S,Books,2026-02-25,2026-03-02,2026-03-04,2026-02-27,1000019,1,4407521
5TX67BWW5MPN,903907,0,HomeGoods-ZZI-772,3529.68,WHL896,HomeGoods,,,,,,7,
T0P7U1WAOGLZ,633962,0,Sports-NFD-410,2708.24,WHH3IG,Sports,,,,,,4,
EZPFT12G2I9G,990071,0,Electronics-IKJ-168,2501.88,WHNJIY,Electronics,,,,,,7,
G8657MA67USE,967617,0,Books-USX-141,2152.73,WHC0SM,Books,,,,,,2,
A3MTW3JTS50G,681665,0,Books-XZZ-797,4325.35,WH2GGQ,Books,,,,,,5,
WYOB89OSVHV2,899480,0,HomeGoods-ZXC-532,3212.18,WHFXQE,HomeGoods,,,,,,4,
WDR2WNRMQY06,736101,1,ComputersandAccessories-LZM-919,1261.32,WHY3OJ,Computers&Accessories,2025-12-25,2025-12-29,2025-12-30,2026-01-05,1000020,6,1270909
YRL7AJFL9LR4,264846,0,Sports-OEQ-350,677.62,WHPCW9,Sports,,,,,,6,
YVRIQ89GBL2I,576917,0,Books-CBW-278,1702.08,WHFVCI,Books,,,,,,2,
1HROMDU40M6O,727114,0,ComputersandAccessories-DVZ-664,3242.83,WHY83E,Computers&Accessories,,,,,,10,
W5R0RV3B9DFN,478817,1,Sports-IWV-427,3232.42,WHS3L6,Sports,2025-08-29,2025-09-03,2025-09-06,2025-09-07,1000021,9,2348662
6X9MZM4N30K8,363436,1,Electronics-CVJ-252,4269.84,WH41BL,Electronics,2025-07-17,2025-07-23,2025-07-25,2025-07-30,1000022,5,7676285
CXW52PVP14H6,266410,1,Sports-PIJ-589,1226.09,WHUAJK,Sports,2025-05-27,2025-05-28,2025-05-28,2025-06-06,1000023,6,4540818
N4J06MDLO4PU,720631,1,Books-FKF-929,4.41,WH1SA6,Books,2025-05-10,2025-05-16,2025-05-19,2025-05-20,1000024,8,2052097
JVX0UJ65LLH8,795430,1,Clothing-UHP-876,3282.46,WHRJAX,Clothing,2025-10-06,2025-10-06,2025-10-06,2025-10-14,1000025,1,2008414
YJN67TC2DP78,343813,0,HomeGoods-ACE-283,1400.95,WHI4TQ,HomeGoods,,,,,,10,
Z9VNXZ23ZD8Y,596940,1,ComputersandAccessories-DNG-420,1575.53,WHLWHV,Computers&Accessories,2025-05-05,2025-05-07,2025-05-08,2025-05-06,1000026,4,4700399
OEZCCH216RKE,685343,1,Electronics-GTG-014,2729.28,WHMN40,Electronics,2025-04-02,2025-04-09,2025-04-11,2025-04-05,1000027,10,6658182
Q1429XH95L5I,793762,0,ComputersandAccessories-QPH-185,1667.13,WHK271,Computers&Accessories,,,,,,3,
X9KW00W4P45J,386840,1,Sports-NUJ-402,931.62,WHLJ6V,Sports,2025-04-23,2025-04-29,2025-05-02,2025-04-25,1000028,1,7697815
8X2L4DV3U75E,562409,1,Sports-DHB-359,4004.96,WHD6OD,Sports,2025-08-18,2025-08-18,2025-08-20,2025-08-28,1000029,10,2238613
PQ81JYU8BRC3,223217,0,Clothing-SBT-372,1808.8,WHK4GD,Clothing,,,,,,1,
2LG2255XI8E5,978988,1,ComputersandAccessories-CVB-422,4092.63,WH1I0E,Computers&Accessories,2025-09-04,2025-09-07,2025-09-08,2025-09-05,1000030,8,7652691
98LRLWO0Y4W3,496688,1,Clothing-IXD-320,1043.14,WHARWP,Clothing,2025-04-02,2025-04-07,2025-04-07,2025-04-04,1000031,3,8331024
DBALMDUGY8GD,674923,0,Books-KJR-106,3912.81,WHG966,Books,,,,,,10,
TR6CN6TWDNMT,214652,0,Clothing-AEG-979,2572.34,WHV6DW,Clothing,,,,,,1,
O37RPQ6DPEXA,360552,0,Sports-XEV-149,3239.89,WH50J5,Sports,,,,,,3,
RRVB0ZP4E634,488403,1,HomeGoods-GPB-188,491.32,WH9KG0,HomeGoods,2025-03-09,2025-03-09,2025-03-12,2025-03-16,1000032,3,1674448
PL81GBZOVD0Z,400929,1,Books-CSV-910,842.72,WHKAOW,Books,2026-03-03,2026-03-03,2026-03-03,2026-03-04,1000033,6,2119572
U28EXPFHG51T,842391,0,Electronics-NOS-520,4871.91,WHMTYZ,Electronics,,,,,,4,
ZL2BV33BGTBD,342681,1,Clothing-JRJ-435,4560.73,WH4FR9,Clothing,2025-09-25,2025-09-28,2025-09-29,2025-10-06,1000034,10,5011117
U5IRJ8P4UU7S,417573,0,HomeGoods-MXA-948,23.04,WHMZCL,HomeGoods,,,,,,6,
OQWTAA64MGR7,306817,0,Sports-TDR-538,2398.45,WHO43L,Sports,,,,,,6,
2C3MM2DFN8U6,632137,1,Books-GNT-538,2203.76,WHBTKE,Books,2025-03-31,2025-04-01,2025-04-03,2025-04-01,1000035,7,7811840
X91ZFJOTM19G,880616,1,Sports-DOP-502,1827.9,WH0MVZ,Sports,2025-10-17,2025-10-22,2025-10-22,2025-10-18,1000036,4,6296644
3RCBDQJW7P51,164935,0,Sports-QUF-472,2859.64,WHUSDM,Sports,,,,,,7,
F2QSP75FOMCO,755912,1,Clothing-TPY-048,2905.27,WH1RSJ,Clothing,2025-10-28,2025-11-03,2025-11-05,2025-11-05,1000037,8,3230719
NY03GABLGELJ,108115,0,Clothing-PWS-670,3936.6,WHM4LX,Clothing,,,,,,4,
E3OCAUZY04S4,980650,0,Sports-EAX-571,1040.72,WHM5Y3,Sports,,,,,,10,
NYKKYPNKMZTC,428956,1,Clothing-ILP-274,3406.15,WHI3RV,Clothing,2025-04-14,2025-04-17,2025-04-17,2025-04-16,1000038,3,6497280
FW0TWERXH9PL,715512,0,ComputersandAccessories-EOT-885,4312.46,WHKQC3,Computers&Accessories,,,,,,4,
UNXUIUEN8N16,461142,0,Sports-NUN-087,2501.46,WHNBFK,Sports,,,,,,8,
WSWBNKZJMA67,804141,1,ComputersandAccessories-BWO-353,4526.51,WHR3D9,Computers&Accessories,2026-01-21,2026-01-22,2026-01-22,2026-01-22,1000039,6,1098339
48JJMK4AHXWE,486837,1,HomeGoods-PVL-432,3014.43,WHMFS2,HomeGoods,2026-02-25,2026-02-27,2026-02-27,2026-03-03,1000040,10,5575179
,952293,1,Books-XTE-177,3549.47,WHHJLX,Books,2025-09-24,2025-09-26,2025-09-28,2025-09-25,1000041,2,5375504
G6VPVLN0ZRM2,511043,1,Electronics-HUZ-130,2148.1,WH4UCH,Electronics,2025-04-23,2025-04-29,2025-04-29,2025-05-03,1000042,6,9245471
LH8H6M8GXJ7G,105631,0,Electronics-DEL-395,3982.77,WHVN0Y,Electronics,,,,,,1,
6HSVTOVYWF64,305279,1,ComputersandAccessories-TMZ-285,4794.2,WHEQOF,Computers&Accessories,2025-03-30,2025-04-06,2025-04-09,2025-04-01,1000043,1,3768903
LVX60U70GMNT,956068,1,Clothing-CTK-583,4682.65,WHW6JM,Clothing,2025-10-04,2025-10-10,2025-10-10,2025-10-05,1000044,9,9100308
J5KH68VJTI3W,146609,0,Electronics-UGE-602,2882.28,WHV2EF,Electronics,,,,,,9,
G2NUBC33ZU9O,398270,1,Clothing-UXD-575,3458.89,WHSM8H,Clothing,2025-10-06,2025-10-12,2025-10-12,2025-10-08,1000045,5,6517187
LITHBZEO6LOJ,719059,1,HomeGoods-KMY-363,1540.24,WHEGVB,HomeGoods,2025-05-06,2025-05-06,2025-05-07,2025-05-07,1000046,5,3810514
K579Z2LJE9KW,497106,1,Sports-FST-726,402.38,WHIPEF,Sports,2025-12-26,2025-12-26,2025-12-27,2025-12-31,1000047,,6956197
CCRJAZBRBTIC,762853,0,Clothing-UIA-421,1725.75,WHQRQ4,Clothing,,,,,,1,
PG1RNQJ3HN98,252851,0,HomeGoods-RNJ-650,1676.78,WHOA8W,HomeGoods,,,,,,8,
TZEYWNXBR5QW,210449,0,Clothing-KPP-894,4305.76,WH5HE4,Clothing,,,,,,5,
ZS1J61QW1SMG,744219,0,ComputersandAccessories-ZAP-795,4953.65,WHJAR3,Computers&Accessories,,,,,,8,
KCRE8JBTF27J,148707,1,Clothing-VES-682,1737.78,WH6OCY,Clothing,2025-03-05,2025-03-09,2025-03-11,2025-03-14,1000048,7,6383650
ZTA793QIPASM,667931,0,Sports-NJM-795,2733.59,WHXUB5,Sports,,,,,,4,
66C66QKTCE8O,210497,0,Books-IGL-589,4363.2,WHGQKW,Books,,,,,,8,
VDAG6KGCKQ2T,428530,0,Electronics-WHN-818,825.07,WHKDAC,Electronics,,,,,,6,
OBMG52NSBP0R,929484,0,Sports-ACZ-810,617.35,WHISDF,Sports,,,,,,9,
9DFFT0U97J9P,916343,1,Clothing-UWR-722,687.14,WHOW6X,Clothing,2025-09-01,2025-09-07,2025-09-10,2025-09-04,1000049,7,6226595
SHE4PIQE1X2F,309655,1,Clothing-ALY-525,1916.93,WH0T58,Clothing,2025-09-13,2025-09-15,2025-09-16,2025-09-25,1000050,5,8701462
YI23N0KZ2KMA,896921,0,Electronics-NMX-481,3819.84,WHVNFD,Electronics,,,,,,2,
3VPCISGTWZTE,558585,1,ComputersandAccessories-WNP-889,3743.48,WHYC8O,Computers&Accessories,2025-12-17,2025-12-24,2025-12-27,2025-12-20,1000051,4,1200203
S3QKPRPG6LUG,664326,1,ComputersandAccessories-TRD-428,876.4,WHOBSF,Computers&Accessories,2025-06-19,2025-06-21,2025-06-24,2025-06-20,1000052,7,7654552
L5LUX2O9J8GI,327767,1,Sports-DMG-579,480.92,WHLW8P,Sports,2025-07-05,2025-07-12,2025-07-12,2025-07-17,1000053,9,7698785
OX52OY0V6UA7,890050,0,Clothing-IHV-435,1406.74,WH8P5L,Clothing,,,,,,9,
2TIZXKFUTGY3,820558,0,HomeGoods-UNY-009,1963.99,WHK6O2,HomeGoods,,,,,,9,
9HX6HG8ABJ9L,390528,1,Books-TSF-568,227.68,WHHCF6,Books,2025-06-01,2025-06-07,2025-06-10,2025-06-02,1000054,10,1285664
1GT21ONOR0KD,459501,0,Clothing-PXY-916,685.73,WHLRNL,Clothing,,,,,,8,
XKRLNHJEWCQQ,533494,1,ComputersandAccessories-JDT-064,1081.84,WHF1E0,Computers&Accessories,2025-05-03,2025-05-04,2025-05-06,2025-05-05,1000055,1,1030638
WSC62G8OTETD,760749,0,Clothing-OJJ-568,157.57,WHPD4E,Clothing,,,,,,1,
29H60Y5LIE85,694172,0,Electronics-OQC-857,4893.4,WHHN7P,Electronics,,,,,,7,
Q4LPWWX65LEN,242247,0,Clothing-OVP-957,327.24,WHZC6V,Clothing,,,,,1002428,2,
4S4YC63B8DJ5,248465,0,Clothing-CMZ-369,4866.84,WHY0HC,Clothing,,,,,,8,
QD9ZZI6ECL1N,198528,0,HomeGoods-GQP-297,2747.99,WHVZW4,HomeGoods,,,,,,9,
LO612YNHZIMK,705514,1,ComputersandAccessories-QWQ-056,2751.54,WH4K3D,Computers&Accessories,2025-05-06,2025-05-08,2025-05-09,2025-05-16,1000056,4,5355502
0QIR2FQYMTSZ,701852,1,Books-KWB-455,16.68,WH83GP,Books,2026-01-14,2026-01-21,2026-01-24,2026-01-17,1000057,6,7904701
5PTHAQPAYHY0,678013,0,Books-UWW-194,1849.45,WHONKO,Books,,,,,,5,
9K99IZE29D56,157411,0,Clothing-VGH-857,4523.61,WHS0S4,Clothing,,,,,,2,
45ZJFAZRZWUC,303726,1,ComputersandAccessories-RUB-586,3395.7,WH513G,Computers&Accessories,2025-04-22,2025-04-27,2025-04-30,2025-05-02,1000058,1,1429287
8E5LDQ166IPZ,228499,1,Electronics-KDA-416,4531.5,WHRE7P,Electronics,2025-04-27,2025-05-01,2025-05-01,2025-05-10,1000059,10,9616188
UMB43MQCCG88,858462,1,Sports-UAG-906,1904.69,WHFAH2,Sports,2025-08-03,2025-08-03,2025-08-04,2025-08-04,1000060,5,8700529
CDYU6BPMA1XB,361935,0,Books-SQN-681,3805.64,WHPCDA,Books,,,,,,10,
9Z44A47VQ7U9,640428,1,Sports-KIQ-419,4980.35,WH8LRR,Sports,2025-08-04,2025-08-04,2025-08-06,2025-08-06,1000061,6,4719427
YX0NVWYEUSFO,612327,1,Electronics-HGJ-520,35.94,WHGN2D,Electronics,2025-07-14,2025-07-18,2025-07-21,2025-07-25,1000062,7,8841439
C7AGICBF3UOS,567415,1,ComputersandAccessories-USJ-078,742.54,WHIYO8,Computers&Accessories,2025-05-29,2025-05-31,2025-06-03,2025-05-30,1000063,6,1660082
S11QDOCMM3WJ,531273,0,Sports-KEY-664,327.72,WHAJXV,Sports,,,,,,9,
OMZ4F1CFUE2P,447975,0,Clothing-CAZ-865,3964.21,WH6QJ3,Clothing,,,,,,4,
ERZUPMICWJ31,766951,0,Electronics-ONL-878,774.7,WHQ96N,Electronics,,,,,,8,
D7O86GKZORWV,812629,1,Clothing-NLL-866,850.88,WHIK0L,Clothing,2026-01-06,2026-01-07,2026-01-10,2026-01-07,1000064,1,2074830
DWBYA82Z0HU2,398208,0,ComputersandAccessories-FCT-095,4868.59,WHBXWZ,Computers&Accessories,,,,,,2,
UYY11XSID8SB,331536,1,ComputersandAccessories-KTN-674,3362.7,WHOWIZ,Computers&Accessories,2025-03-19,2025-03-20,2025-03-23,2025-03-29,1000065,8,6553114
VGM58ONVMMN8,595025,1,ComputersandAccessories-OEK-740,1099.79,WHV782,Computers&Accessories,2025-08-03,2025-08-03,2025-08-04,2025-08-09,1000066,2,8213195
70EOIXBJNFID,668247,1,Sports-EDX-695,789.93,WHWPTJ,Sports,2025-09-20,2025-09-23,2025-09-23,2025-09-28,1000067,6,2121380
38IGZUH1BECZ,531271,0,Sports-MBU-673,3094.51,WHXZXE,Sports,,,,,,8,
1ZQFHO13BGE6,110744,0,Sports-ITL-180,4822.86,WH05IW,Sports,,,,,,5,
IN070MLNLMC4,618354,1,Clothing-ZNG-380,3091.37,WHFB0G,Clothing,2025-08-19,2025-08-22,2025-08-24,2025-08-22,1000068,8,7226887
VF1RHIA45613,323694,0,Sports-WAN-590,2121.8,WHQ2WZ,Sports,,,,,,2,
EYNRRKDFSCZ7,606429,0,Electronics-RDF-502,454.09,WH14S3,Electronics,,,,,,4,
HJPATBB9F8ZJ,785551,1,Clothing-FES-176,2930.82,WHD5NV,Clothing,2025-12-14,2025-12-19,2025-12-20,2025-12-17,1000069,3,2347403
ZUZA11W3KEHS,799264,1,ComputersandAccessories-ZAX-716,1203.75,WHIK92,Computers&Accessories,2025-06-24,2025-07-01,2025-07-03,2025-06-30,1000070,9,7873932
PCW22RT7LM0P,530687,1,Electronics-HTG-858,53.23,WHUW2A,Electronics,2025-08-03,2025-08-07,2025-08-07,2025-08-10,1000071,6,1448166
DY1BR2H7H5VW,955486,1,Electronics-GQL-407,1390.27,WHCYMY,Electronics,2025-10-18,2025-10-21,2025-10-22,2025-10-29,1000072,6,3818629
OGXYRPHURWFD,734393,0,Clothing-NNJ-614,4145.54,WHTZXR,Clothing,,,,,,7,
SYBHX6L7DCYI,591013,1,ComputersandAccessories-KHP-719,4508.21,WHB00I,Computers&Accessories,2025-11-24,2025-11-27,2025-11-28,2025-12-04,1000073,9,2664496
FILBZI2DTBR5,123093,1,Clothing-GVO-215,90.04,WHW1LB,Clothing,2025-11-08,2025-11-14,2025-11-16,2025-11-14,1000074,9,5082610
PPRAE64JTCC5,280392,1,Electronics-OVK-743,4133.45,WHQ8E6,Electronics,2025-06-18,2025-06-19,2025-06-20,2025-06-19,1000075,6,4726564
G0A55YMJ7XJX,539537,0,Books-KWC-582,4490.2,WHXN1C,Books,,,,,,10,
HEJXXRH5N4B8,233218,0,Electronics-JBW-153,684.43,WHDKTD,Electronics,,,,,,5,
HQAU5GOQ8Y94,366973,1,Clothing-KXI-152,2611.32,WHM2BN,Clothing,2025-04-30,2025-05-05,2025-05-07,2025-05-08,1000076,5,9662342
TSN01MYOCWU8,837765,1,Books-JNW-887,603.19,WHP15W,Books,2025-11-22,2025-11-25,2025-11-27,2025-11-25,1000077,3,6933054
DGHRJ0HOA4PM,929041,1,ComputersandAccessories-LCM-640,441.72,WHXB7R,Computers&Accessories,2025-08-11,2025-08-18,2025-08-21,2025-08-21,1000078,6,3121467
JGTG4QQ3LVS4,588911,0,Sports-AZF-960,3629.42,WHW8ND,Sports,,,,,,1,
5RUY4OMFB707,572784,0,Clothing-VFV-111,4738.48,WHWDCY,Clothing,,,,,,6,
FKPMCNLPUW8N,284478,0,Clothing-GSZ-706,2960.84,WHCZX1,Clothing,,,,,,5,
4FRQ69V5GJCN,124930,0,Electronics-QID-564,1989.14,WHW1AU,Electronics,,,,,,6,
4VTEPRIN9TLD,875151,1,Sports-JYM-377,253.19,WH3ZSB,Sports,2026-03-05,2026-03-05,2026-03-07,2026-03-15,1000079,7,5964424
5K5W67KB1MAN,456530,0,Clothing-CBL-639,3500.23,WHELBY,Clothing,,,,,,1,
KXZO1OTXJXLQ,265973,1,Electronics-GFS-289,3522.14,WHT9JE,Electronics,2025-08-23,2025-08-27,2025-08-30,2025-08-25,1000080,8,2175916
S8M9JLE53BZV,971617,0,Books-HRZ-450,3337.87,WHNHNM,Books,,,,,,10,
GCJA87HB9ATZ,246747,0,Electronics-MAE-967,2013.68,WHF5OY,Electronics,,,,,,10,
OEGX3L5MD07C,308945,1,HomeGoods-UBY-646,2257.27,WHZF03,HomeGoods,2026-02-03,2026-02-04,2026-02-07,2026-02-13,1000081,10,6364399
E8KUHVRF68D0,115129,1,Books-KLF-219,2984.35,WHYQAV,Books,2025-07-24,2025-07-24,2025-07-24,2025-07-27,1000082,7,3064528
6FORRLRJQ8Z3,941111,1,Electronics-NDP-128,3462.74,WHOJXD,Electronics,2026-01-03,2026-01-03,2026-01-04,2026-01-04,1000083,8,1718371
IKDQQ5HAUNOQ,101443,0,HomeGoods-BUI-997,1473.9,WHK09U,HomeGoods,,,,,,8,
545UHBY0O4SK,658020,0,ComputersandAccessories-JPT-608,3911.85,WHAB70,Computers&Accessories,,,,,,4,
V5JHM9IHOZDH,872841,1,Books-GUR-569,379.84,WH0OU4,Books,2025-03-05,2025-03-10,2025-03-10,2025-03-17,1000084,4,7582096
J6H0CYKRO0T6,232269,1,ComputersandAccessories-JRQ-166,1101.5,WH0BKD,Computers&Accessories,2026-02-06,2026-02-09,2026-02-10,2026-02-14,1000085,1,2880435
0GWEH22GILUW,777084,1,ComputersandAccessories-HIS-499,1570.55,WHJ932,Computers&Accessories,2025-09-20,2025-09-22,2025-09-25,2025-09-30,1000086,8,3259553
1JDKFR9TCJS9,841867,0,Sports-ZSA-828,1037.17,WHCAVF,Sports,,,,,,4,
5MHFGV1RL0UH,228457,0,HomeGoods-HCQ-994,4252.18,WHHW8H,HomeGoods,,,,,,5,
P32NRE2P1GRW,848029,0,ComputersandAccessories-ZHK-110,2314.91,WHZESO,Computers&Accessories,,,,,,1,
A8VUT1LTH4B7,392719,0,ComputersandAccessories-NFV-683,1433.62,WHH2M1,Computers&Accessories,,,,,,10,
CBMD9UK9RHTG,396151,0,ComputersandAccessories-AVK-098,4396.07,WH2ULC,Computers&Accessories,,,,,,4,
688MZ2HE07KS,396597,0,Sports-ARU-920,2389.22,WHUV58,Sports,,,,,,3,
9X35RI6E1DC8,451623,0,ComputersandAccessories-KKK-638,3431.71,WHJZLV,Computers&Accessories,,,,,,4,
A61ZVLO5C1P1,542964,0,Electronics-WHF-360,4229.68,WH6WOQ,Electronics,,,,,,4,
QZ1JCFBX5ONG,389323,0,Electronics-VPW-683,2549.0,WHWNNV,Electronics,,,,,,9,
R3T95BQQAC1H,217314,0,ComputersandAccessories-MPK-981,1073.39,WHWR3U,Computers&Accessories,,,,,,2,
T60JJSIDELII,342240,0,Sports-HFO-566,907.22,WHQQD4,Sports,,,,,,10,
9MU7BHXB5071,943934,0,Clothing-IQF-053,1474.54,WHGDDQ,Clothing,,,,,,10,
99U5ED0IOP4D,965978,1,Electronics-KTM-556,4879.37,WHQX8F,Electronics,2025-08-15,2025-08-17,2025-08-18,2025-08-16,1000087,5,4362043
TOR4UTX57Y1P,978381,0,HomeGoods-MMP-872,481.4,WH2MQM,HomeGoods,,,,,,7,
I6MMOHPWJXA8,796876,0,Books-NIG-771,2781.84,WHZTSR,Books,,,,,,7,
EDNUOB0EX6PX,993660,0,Clothing-AKT-911,1017.13,WHXSVV,Clothing,,,,,,8,
N3XQY4P8XHDR,600677,0,Electronics-HKD-525,3724.18,WHHSKO,Electronics,,,,,,10,
LNSUZJTF0K3G,167516,0,Clothing-ZZN-856,2457.76,WHT8ES,Clothing,,,,,,4,
AAO9BXB23F3D,138333,0,Clothing-MPE-981,2818.79,WHVTAA,Clothing,,,,,,5,
IDC1IUTG969U,479627,0,ComputersandAccessories-DPN-189,3298.77,WHW832,Computers&Accessories,,,,,,2,
F7XMQZ6RQVEQ,779254,1,Sports-TLJ-835,2462.26,WH79ID,Sports,2026-02-20,2026-02-21,2026-02-22,2026-03-01,1000088,1,6937681
FPTR9Q5SLAJD,175475,0,Electronics-QZI-493,2977.57,WHNXN7,Electronics,,,,,,7,
Z80NMKCQSMS7,736351,0,Sports-DCV-108,4423.44,WHUA56,Sports,,,,,,10,5136192
F4AAWKA2HB8P,724916,0,Clothing-JDR-840,1449.49,WH08QS,Clothing,,,,,,7,
IDFI09J7PLN6,183179,1,Electronics-XCX-814,1425.85,WHXI3T,Electronics,2026-02-15,2026-02-20,2026-02-20,2026-02-16,1000089,3,4124607
U37EGIA2O6C0,889714,0,Electronics-ATM-622,4663.97,WHPO3X,Electronics,,,,,,10,
AEACW65BALMC,739885,1,Electronics-CJT-200,2549.93,WH0MLZ,Electronics,2025-03-25,2025-03-25,2025-03-25,2025-03-28,1000090,6,1272593
TRX6EPX1GE7E,289357,0,Electronics-UVK-649,439.42,WHN4O7,Electronics,,,,,,6,
CQ98GWNTTXCR,826603,0,Sports-ULP-350,4148.47,WH6G5U,Sports,,,,,,10,
ZMM8RRKQ3W5A,479524,0,ComputersandAccessories-MLI-296,3266.46,WH5IZM,Computers&Accessories,,,,,,5,
26P3XVV9A9XU,933274,0,Clothing-OAU-740,3702.27,WHTN1D,Clothing,,,,,,8,
C8O8U8GOE6SU,502079,0,HomeGoods-IPI-863,3436.26,WHNPY0,HomeGoods,,,,,,2,
LTU5Q9HNJPYK,195268,1,Clothing-VDB-001,4129.56,WH05ZJ,Clothing,2025-03-07,2025-03-09,2025-03-11,2025-03-10,1000091,1,1535025
